-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,@,@,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,@,-,-,@,-,@,-,-,-,-,@,-,@,-,-,@,-,@,-,-,@,-,-,@,-,@,-,-,-,-,@,-,@,-,-,@,-,-
-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,@,-,@,-,@,-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,@,-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,@,-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,@,-,@,-,-,@,-,-,-,-,@,-,@,@,-,@,-,@,-,-,@,-,@,@,-,@,-,-,-,-,@,-,-,@,-,@,-,-
-,-,@,-,-,@,-,@,-,-,-,-,@,-,@,@,-,@,-,@,-,-,@,-,@,@,-,@,-,-,-,-,@,-,@,-,-,@,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,@,-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@,@,@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@
@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@,@,@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-,@,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,@,-,-,@,-,@,-,-,-,-,@,-,@,@,-,@,-,-,@,-,@,-,@,@,-,@,-,-,-,-,@,-,@,-,-,@,-,-
-,-,@,-,@,-,-,@,-,-,-,-,@,-,@,@,-,@,-,-,@,-,@,-,@,@,-,@,-,-,-,-,@,-,-,@,-,@,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-,@,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-,@,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,@,-,@,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-,@,-,@,-,@,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-
-,-,@,-,-,@,-,@,-,-,-,-,@,-,@,-,-,@,-,-,@,-,@,-,-,@,-,@,-,-,-,-,@,-,@,-,-,@,-,-
-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-,@,-,@,-,-,-,-,@,-,-,-,-,@,-,-,-,-,@,-,-
-,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,@,@,-,-,@,@,@,@,-,-,-,-,-,-,@,@,@,@,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,@,@,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
